record_id,combined_text_raw,symptom_text,cause_text,action_text,asset_text,fault_class_text
INC00043841,la quarto 2 est en panne elle siffle la courroie est defectueuse remplacement et reglage courroie essais ok,la quarto est en panne elle siffle,courroie est defectueuse,remplacement et reglage courroie,courroie; pompe,dispenser related issue
INC00086691,fuite sur la tuyauterie canne a huile remplacement mano detendeur essais ok,fuite sur la tuyauterie canne a huile,,remplacement mano detendeur,canne a huile; mano detendeur,car service related issue
INC00055273,pistolet pompe gazoil 1 super 1 super 2 defectueux remplacement bec pistolet et garde aimant,pistolet pompe defectueux,,remplacement garde aimant,pistolet pompe; bec pistolet; garde aimant; pompe,dispenser related issue
INC00046056,lavage en arret le suppresseur n envoi pas l eau suite de l intervention verification du raccordement reconnexion test de fonctionnement du pressostat pas de sortie tension pour alimentation moteur pressostat hs,lavage en arret le suppresseur n envoi pas l eau,pas de sortie tension pour alimentation moteur pressostat hors service,verification du raccordement reconnexion test de fonctionnement du pressostat,pressostat,car wash related issue
INC00079121,pompe petrole en arret verification de l energie sur la pompe ok arret de la pompe demontage des fusibles test constat fusible protection circuit d alimentation coupe remplacement et remise de la pompe observation bonne ok,pompe petrole en arret,defaut fusible,remplacement fusible,fusible; pompe,dispenser related issue
INC00071831,flexible de la pompe super 4 perce au niveau du joint du pistolet le super suinte par la raccourcissement flexible pose raccord essais ok,flexible de la pompe perce au niveau du joint du pistolet,,raccourcissement flexible,pompe; flexible pompe; pistolet pompe; raccord,dispenser related issue
INC00034084,la pompe 1 est hors service probleme calculateur reparation des pompes super et gasoil replacement du calculateur et carte uam,la pompe est hors service,defaut calculateur,replacement calculateur,pompe; calculateur,dispenser related issue
INC00060134,la borne affiche occupe et n autorise pas les transactions probleme resolu apres redemarrage en ligne,la borne affiche occupe et n autorise pas les transactions,,redemarrage borne,borne dialog,dialog related issue
INC00090151,pompe super4 et gasoil4 l afficheur ne s allume pas le pistolet pompe super1 claque pistolet pompe gasoil 4 coule resorption fuites sur raccords flexibles gasoil quadro 1 et 2 remplacement bec super 1 remplacement afficheur quadri 2 essais ok,pistolet pompe coule,,resorption fuites sur raccords flexibles,pompe; raccord flexible; bec pistolet; afficheur,dispenser related issue
INC00045310,appareil distributeur duo go 1 2 signale error sur l afficheur et ne demarre pas demontage et echange standard pieces defectueuses,appareil distributeur duo signale error sur l afficheur et ne demarre pas,,demontage et echange standard piece defectueuses,pompe,dispenser related issue
INC00047840,la pompe a huile pompe n 4 qui n affiche pas la quantite servie reinitialisation carte wwc reglages electronique,la pompe a huile pompe n 4 qui n affiche pas la quantite servie,,reinitialisation calculateur,calculateur,dispenser related issue
INC00080853,le mano degonfle plus tot que gonfler les pneus et embout casse remplacement embout air ok remise de la borne a air en service ok,le mano degonfle plus tot que gonfler les pneus embout casse,,remplacement embout air,embout air; borne a air; mano de gonflage,car service related issue
INC00059671,les pistolets sc3 sc4 de la quadro 2 ne fonctionnent pas remplacement relais moteur s3 4 purge et nettoyage des filtres gazoil3 4,les pistolets de la quadro ne fonctionnent pas,,nettoyage filtres,pompe; relais moteur; filtre,dispenser related issue
INC00057831,la pompe s est arrete aux alentours de 16h elle est completement eteinte verifications et reconfiguration de la pompe,la pompe s est arrete elle est completement eteinte,,reconfiguration pompe,pompe,dispenser related issue
INC00051086,pompe en arret verifications et reconfiguration,pompe en arret,,reconfiguration pompe,pompe,dispenser related issue
INC00071870,la pompe de derrire laisser couler le carburant vers le bas abondamment lorsque on declenche le service verifications et remplacement des joints,la pompe de derrire laisser couler le carburant vers le bas abondamment lorsque on declenche le service,,remplacement joint,pompe; joint,dispenser related issue
INC00089714,compresseur en arret depose du regulateur et pose d une bobine galvanise 1 2 pour continuite de service,compresseur en arret,,depose du regulateur et pose d une bobine galvanise 1 2 pour continuite de service,compresseur; regulateur; bobine galvanise,car service related issue
INC00078540,fuite sur le flexible du pistolet de graissage verifications et remplacement du flexible graisse,fuite sur le flexible du pistolet de graissage,,remplacement flexible graisse,flexible graisse; pistolet graisse,car service related issue
INC00086173,le flexible super 1 ne s enroule plus reparation enrouleur flexible remplacement flexible essais ok,le flexible ne s enroule plus,,reparation enrouleur flexible,enrouleur flexible; flexible pompe,dispenser related issue
INC00085673,la pompe petrole aspire tres lentement et debite en trop nettoyage des filtres pompe petrole controle debit ok sur quadro 1et 2 gasoil nettoyage des filtres groupes et pistolets nettoyage des clapets ris controle des poulies et courroies essais ok vannes de retenu des cuves gasoil a nettoyer remplacer ou supprimer,la pompe aspire tres lentement,,nettoyage filtres,pompe; filtre groupe; filtre pistolet; vanne de retenu de cuve; poulie; courroie,dispenser related issue
INC00047471,02 flexibles de vidange ppe go pour ge go2 uses a remplacer remplacement des flexibles gazoil 1 et 2,flexibles de vidange uses,,remplacement flexible,flexible pompe,dispenser related issue
INC00089649,pompe sino hydro lagdo en arret remplacement du contacteur et fusible remise en marche de la pompe,pompe en arret,,remplacement fusible,pompe; contacteur; fusible,dispenser related issue
INC00080707,pompe petrole n aspire pas remplacement des palettes et bargue de guidage,pompe petrole n aspire pas,,remplacement des palettes,jeu de palette,dispenser related issue
INC00058028,pompe super 1et gasoil 1 en arret verifications remplacement de leeprom et reconfiguration du calculateur essai ok,pompe en arret,,remplacement eeprom,eeprom; pompe; calculateur,dispenser related issue
INC00051151,fuite abondante au pistolet super 1 verifications et remplacement des joints,fuite abondante au pistolet super,,remplacement joint,joint,dispenser related issue
INC00070783,borne a air hs embout et memoire defectueux flexible souflage filtres tres court panne reatribuee a dongho,borne a air hs,embout defectueux memoire defectueux,nettoyage electrovanne nettoyage embout air,embout air; electrovanne; borne a air,car service related issue
INC00055513,grand bruit anormal au niveau de la poulie de la pompe s2 verifications et refixation du moteur,bruit anormal au niveau de la poulie de la pompe,,refixation du moteur,poulie moteur,dispenser related issue
INC00089796,la borne se coupe de temps en temps controle et retablissement connexion internet,la borne se coupe de temps en temps,,controle connexion internet et lan,borne dialog,dialog related issue
INC00073128,flexible borne a air deffectueux remplacement du flexible,flexible borne a air deffectueux,,remplacement flexible,borne a air; flexible air,car service related issue
INC00051864,pompe 4 fuite d huile au niveau de l accordeon et le tableau n affiche pas pendant le service verifications et remplacement de l accordeon,fuite d huile au niveau de l accordeon et le tableau n affiche pas pendant le service,,remplacement de l accordeon,accordeon,dispenser related issue
INC00053588,le pistolet ne s accroche plus dans la gorge de la pompe verifications et remplacement du support,le pistolet ne s accroche plus dans la gorge de la pompe,,remplacement support pistolet,support pistolet; pistolet pompe,dispenser related issue
INC00061857,ecran ordinateur ne s allume pas completement off depuis ce matin besoin d une intervention urgente remplacement ecran fuel pos raccordements essais ok,ecran ordinateur ne s allume pas ecran completement off,,remplacement de l ecran,ecran ordinateur; ecran; fuelpos,pos related issue
INC00060290,pompe gasoil 2 garde pistolet cassee et debit lent controle et remplacement garde aimante du pistolet,garde pistolet cassee debit lent,,remplacement garde aimant,pistolet pompe; garde aimant,dispenser related issue
INC00064616,pompe petrole 2 en arret et affiche error pompe remise en service pose d une batterie 6v,pompe petrole 2 en arret et affiche error,affiche error,remplacement batterie,batterie; pompe,dispenser related issue
INC00086675,pompe petrole en arret pompe petrole remise en service une batterie remplace,pompe en arret,,remplacement batterie,batterie,dispenser related issue
INC00070756,le dysfonctionnement du bras de chargement gasoil n 1 au depot de garoua et sollicitons l intervention du tsg conformement au contrat qui nous lie nettoyage des elements filtrants,dysfonctionnement du bras de chargement gasoil,,nettoyage filtres,bras de chargement; filtre,fuel depot related issue
INC00044708,station en arret le fuel pos est eteint fuel pos installer,station en arret fuel pos est eteint,,reinstallation fuel pos,fuelpos,pos related issue
INC00089621,bonjour la pompe qouadro 2 super coule au niveau du moteur et fait perdre le carburant controle et resserrage des raccords pistolets essais ok,la pompe qouadro super coule au niveau du moteur,,resserrage des raccords pistolets,pompe; moteur; raccord pistolet,dispenser related issue
INC00028955,pistolet gasoil 1 fait couler le carburant replacement du pistolet zva 25,pistolet gasoil fait couler le carburant,,replacement pistolet,pistolet pompe,dispenser related issue
INC00064436,la borne a air ne fonctionne pas verifications et remplacement du flexible embout mano de gonflage,la borne a air ne fonctionne pas,,remplacement flexible embout air,borne a air; flexible embout air; mano de gonflage,car service related issue
INC00066472,le clavier ne fonctionne plus remplacement clavier fuelpos mise en service observations bon,le clavier ne fonctionne plus,,remplacement clavier,clavier pos; fuelpos,pos related issue
INC00069570,ecran pompe duo fissure de l interieur montant illissible remplacement des batteries defectueuses essais ok vitre pompe fissuree a remplacer,ecran pompe duo fissure de l interieur montant illissible,,remplacement du plexiglass,pompe; batterie; vitre,dispenser related issue
INC00040253,compresseur en panne moteur et presostat remplaces,compresseur en panne,,remplacement presostat,compresseur; pressostat,car service related issue
INC00073206,la commande de la pompe gasoil 2 ne fonctionne pas pose d un clavier panne resolue,la commande de la pompe gasoil ne fonctionne pas,,remplacement clavier,clavier pompe,dispenser related issue
INC00047918,etoug ebe fuite au niveau des flexibles borne a air verifications et remplacement des flexibles graisse,fuite au niveau des flexibles borne a air,,remplacement flexible graisse,flexible graisse,car service related issue
INC00080221,fuite au niveau des raccords tournant pistolets gasoil remplacement du raccord et joint,fuite au niveau des raccords tournant pistolets gasoil,,remplacement raccord tournant,raccord tournant; joint; pistolet pompe,dispenser related issue
INC00067563,imprimante boutique autofast ne fonctionne pas impossible de faire des factures au client urgence signalee remplacement de la cartouche,imprimante boutique autofast ne fonctionne pas impossible de faire des factures au client,,remplacement de la cartouche,imprimante ticket; cartouche,pos related issue
INC00051028,la pompe duo super a ete renversee avec la forte pluie et le vent violent d hier repositionnement pompe sur l ilot redressement portillons essais ok,la pompe duo super a ete renversee avec la forte pluie et le vent violent d hier,,repositionnement pompe,pompe; portillon,dispenser related issue
INC00052857,sat 1 ecoulement du produit pendant le service remplacement des joints du clapet ris,ecoulement du produit pendant le service,,remplacement des joints clapet ris,clapet ris; pistolet pompe; ligne d aspiration,dispenser related issue
INC00030198,pompe super fuite important de produit au niveau du moteur groupe de pompage remplace,pompe super fuite important de produit au niveau du moteur,,remplacement groupe de pompage,pompe; moteur; groupe de pompage,dispenser related issue
INC00028954,pistolet gasoil 1 fait couler le carburant replacement du pistolet zva 25,pistolet gasoil fait couler le carburant,,replacement pistolet,pistolet pompe,dispenser related issue
INC00076003,l aspirateur est en arret et les clients de la laverie ne lavent pas sans aspirer leurs vehicules controle alimentation electrique apprentissage jeton monnayeur a remplacer,l aspirateur est en arret,,controle alimentation electrique apprentissage jeton monnayeur a remplacer,jeton; monnayeur; aspirateur,car wash related issue
INC00055408,quadro 3 en arret verifications et remplacement des batteries,quadro 3 en arret,,remplacement batterie,batterie,dispenser related issue
INC00033749,la pompe s2 laisse couler le produit apres le service remplacement des joints de raccord de tournant,la pompe laisse couler le produit apres le service,,remplacement joint du raccord tournant,joint raccord tournant; raccord tournant; pompe,dispenser related issue
INC00048293,fuel pos en arret intervention faite passage des pompes en manuelles et recuperation fuelpos pour arrangement ok,fuel pos en arret,,recuperation fuelpos pour reparation,fuelpos,pos related issue
INC00075570,pistolet d attaques s1 mis hors service pour debit non conforme apres le passage de la brigade regionale controle de debit et verification metrologique nb constat de la fuite sur la tuyauterie de refoulement du gazoil1 travaux en regie,pistolet mis hors service pour debit non conforme apres le passage de la brigade regionale,,controle de debit et verification metrologique,pistolet pompe,dispenser related issue
INC00075139,le produit ne sort pas reinitialisation pompe essais ok,le produit ne sort pas,,reinitialisation pompe,pompe,dispenser related issue
INC00057850,la serure du portillon de la duo3 est endommage remplacement serrure portillon,la serure du portillon de la duo est endommage,,remplacement des serrures,serrure; portillon,dispenser related issue
INC00074555,la pompe super5et6 n aspire pas depose du moteur et remplacement relais essais ok,la pompe super n aspire pas,,remplacement relais moteur,moteur relais,dispenser related issue
INC00068189,la pompe gazole 2 les chiffre electronique compte sans arret reprogrammation de la cpu,la pompe gazole les chiffre electronique compte sans arret,,reprogrammation calculateur,pompe; calculateur,dispenser related issue
INC00032443,pistolet a graissage defectueuse ok pistolet remplacer,pistolet a graissage defectueuse,,remplacement pistolet,pistolet graisse,car service related issue
INC00053553,mano de gonflage en panne remplacement mano de gonflage,mano de gonflage en panne,,remplacement mano de gonflage,mano de gonflage,car service related issue
INC00086690,fuite sur la tuyauterie canne a huile remplacement mano detendeur essais ok,fuite sur la tuyauterie canne a huile,,remplacement mano detendeur,canne a huile; mano detendeur,car service related issue
INC00054623,la pompe 3 affiche error l ecran du gasoil est flou et un bruit anormal lors du service gasoil ou siflottement verifications et remplacement de la batterie et la courroie,un bruit anormal lors du service gasoil ou siflottement,,remplacement courroie,batterie; courroie; pompe,dispenser related issue
INC00034086,la pompe 1 est hors service probleme calculateur reparation des pompes super et gasoil replacement du calculateur et carte uam,la pompe est hors service,defaut carte uam,remplacement carte uam,pompe; carte uam,dispenser related issue
INC00055469,la pompe g3 ne sert pas elle affiche id 51 err248 verification du code reprogrammation du calculateur remise en service de la pompe ok,la pompe ne sert pas elle affiche id 51 err248,,reprogrammation calculateur,calculateur,dispenser related issue
INC00068505,filtre pompe petrole sale filtre pompe petrole nettoyer,filtre pompe sale,filtre pompe petrole sale,nettoyage filtre,filtre; pompe,dispenser related issue
INC00071397,la pompe gasoil fait un bruit anormal remplacement courroie defectueuse nettoyage filtres groupe et pistolets essais ok,la pompe gasoil fait un bruit anormal,courroie defectueuse,remplacement courroie,pompe; courroie; filtre groupe; filtre pistolet,dispenser related issue
INC00086799,borne a air en panne pose d un mona de gonflage panne resolue,borne a air en panne,,remplacement mano de gonglage,mano de gonflage,car service related issue
INC00071578,compresseur en arret fuite d air sur les raccords compresseur recuperer pour reparation,compresseur en arret,fuite d air sur les raccords,compresseur recuperer pour reparation,compresseur,car service related issue
INC00073120,le cote brosse ne sort plus de savon purge pompe doseuse shampoing remplacement brosse a mousse essais ok pression insuffisante au niveau du surpresseur,le cote brosse ne sort plus de savon,,purge pompe doseuse shampoing,pompe doseuse; brosse a mousse,car wash related issue
INC00051609,borne a air inoperant tuyauterie d air percee rectification de la tuyauterie et mise en service,borne a air inoperant,tuyauterie d air percee,refection de la tuyauterie air,borne a air; tuyauterie d air; tuyauterie,car service related issue
INC00054791,fuite dair au niveau du mano verifications et remplacement des couplines male et femelle,fuite dair au niveau du mano,,remplacement des couplines male et femelle,coupline male; coupline femelle; mano de gonflage,car service related issue
INC00075749,fuite importante au nivau du poignet remplacement du joint plat,fuite importante au nivau du poignet,,remplacement joint,poignet; joint,dispenser related issue
INC00059753,pompe gasoil 2 fuite importante de gasoil au niveau du pistolet de la pompe 2 remplacement joint pistolet essais ok,fuite importante de gasoil au niveau du pistolet de la pompe,,remplacement joint pistolet,pompe; joint,dispenser related issue
INC00069123,les pompes presentent des codes erreurs remplacement des batteries et raccord pistolet essais ok,les pompes presentent des codes erreurs,,remplacement des batteries,pompe; batterie; raccord pistolet,dispenser related issue
INC00063880,pompe gasoil 1 fuite importante de gasoil au niveau de la gorge du pistolet de la pompe gasoil 1 remplacement joint de raccord pistolet essais ok,fuite importante de gasoil au niveau de la gorge du pistolet de la pompe,,remplacement joint du raccord pistolet,pompe; pistolet pompe; joint,dispenser related issue
INC00053343,flexible air relie au mano de gonflage perce flexible remplace mise en service test du mano de gonflage sur flexible okay,flexible air relie au mano de gonflage perce,,remplacement flexible air,flexible air; mano de gonflage,car service related issue
INC00064398,borne a air hs embout defectueux remplacement de l embout air remise en service de la borne a air ok,borne a air hs,embout defectueux,remplacement embout air,embout air; borne a air,car service related issue
INC00068107,pompe double super et gasoil en arret ne fonctionne pas remplacement des fusibles,pompe double super et gasoil en arret pompe ne fonctionne pas,,remplacement des fusibles,pompe; fusible,dispenser related issue
INC00082419,index de la pompe super 1 bloque remplacement totalisateur et cable totalisateur,index de la pompe super bloque,,remplacement cable totalisateur,pompe; totalisateur; cable totalisateur,dispenser related issue
INC00074662,pompe quadro affiche close urgent merci remplacement des batteries defectueuses essais ok,pompe quadro affiche close,defaut batterie,remplacement batterie,pompe; batterie,dispenser related issue
INC00074836,la pompes super et gasoil n aspire pas nettoyage des filtres pistolets et groupe nettoyage by pass amorcage essais ok,la pompe n aspire pas,,nettoyage bypass,pompe; filtre groupe; filtre pistolet; bypass,dispenser related issue
INC00087434,le mano d air ne fonctionne pas reparation borne a air remplacement membrane electrovanne et flexible mano essais ok,le mano d air ne fonctionne pas,,remplacement membrane electrovanne,mano de gonflage; borne a air; membrane electrovanne; flexible embout air,car service related issue
INC00045160,la pompe quadro 1 ne se libere pas remplacement de la batterie,la pompe quadro ne se libere pas,,remplacement batterie,pompe; batterie,dispenser related issue
INC00067853,pompe petrole ne demarre pas reprogrammation pompe adressage essais ok pompe fortement corrodee a remplacer,pompe petrole ne demarre pas,,reprogrammation pompe adressage pompe,pompe,dispenser related issue
INC00057921,bjr t e manga bell pompe super 2 en arret remplacement alimentation pompe petrole parametrage pompe duo super essais ok 01 afficheur a fournir sur pompe duo super,pompe super 2 en arret,,parametrage pompe,pompe; alimentation pompe,dispenser related issue
INC00051767,pompe petrole affiche star et compte au niveau du litrage 123 reconfiguration de la pompe,pompe petrole affiche star et compte au niveau du litrage,,reconfiguration pompe,pompe,dispenser related issue
INC00090153,pompe super4 et gasoil4 l afficheur ne s allume pas le pistolet pompe super1 claque pistolet pompe gasoil 4 coule resorption fuites sur raccords flexibles gasoil quadro 1 et 2 remplacement bec super 1 remplacement afficheur quadri 2 essais ok,pistolet pompe coule,,resorption fuites sur raccords flexibles,pompe; raccord flexible; bec pistolet; afficheur,dispenser related issue
INC00061279,fuite sous la pompe du gararge realisation d etancheite sur tuyauterie d aspiration apres le clapet anti syphon,fuite sous la pompe,,realisation d etancheite sur tuyauterie d aspiration apres le clapet anti syphon,tuyauterie; clapet anti-syphon; pompe,dispenser related issue
INC00058260,reparation juage electronique du transtank remplacement de la pile,reparation juage electronique du transtank,,remplacement batterie,batterie jauge; jauge electronique; transtank,tank gauge related issue
INC00052848,pompe super affiche error calculateur defectueux et remplace pompe remise en bon etat de marche,pompe super affiche error,calculateur defectueux,remplacement calculateur,pompe; calculateur,dispenser related issue
INC00064647,a la quadro 1 les courroies des deux pompes gasoil 1 et 2 sifflent remplacement et reglage tension courroie gasoil quadro 1 essais ok,les courroies des deux pompes sifflent,,remplacement courroie reglage courroie,courroie; pompe,dispenser related issue
INC00087597,flexible sup2 trop court verifications et remplacement du flexible,flexible sup trop court,,remplacement flexible,flexible pompe,dispenser related issue
INC00082572,le moteur de la pompe gasoil1 disjoncte et arrete le service moteur remplacer,le moteur de la pompe gasoil1 disjoncte et arrete le service,,remplacement moteur,pompe; moteur,dispenser related issue
INC00041470,e manga bell pompe super 2 aspire pas et coule aussi sur le pistolet merci purge ligne aspiration pompe super2 remplacement bec pistolet super 1 essais ok,pompe coule sur le pistolet,,remplacement bec pistolet,pompe; pistolet pompe; ligne d aspiration,dispenser related issue
INC00051718,imprimante fuel post defectueuse et illisible imprimante a changer,imprimante fuel post defectueuse et illisible,,remplacement imprimante,imprimante ticket,pos related issue
INC00050079,l ambour de la borne a air est defectueuse remplacement flexible embout essais ok,l ambour de la borne a air est defectueuse,,remplacement flexible embout air,embout air; flexible embout air,car service related issue
INC00045850,la pompe petrole ronfle sans arret et affiche erreur verifications et remplacement de l inter de buse et batty,la pompe petrole ronfle sans arret,,remplacement inter de buse,inter de buse; batterie,dispenser related issue
INC00060363,l afficheur de la quadro 1 est tres flou afficheur remplace,l afficheur de la quadro est tres flou,,remplacement afficheur,afficheur,dispenser related issue
INC00053420,la pompe n 2 de la station de carburant du site de mindourou a un probleme la courroie fait beaucoup de bruit remplacement et reglage mise en service,la pompe a un probleme la courroie fait beaucoup de bruit,,remplacement courroie reglage courroie,pompe; courroie,dispenser related issue
INC00039540,compresseur est en arret depuis longtemps la poulie est defectueuse remplacement de la poulie et des accessoires essaie et mise en service,compresseur est en arret,la poulie est defectueuse,remplacement poulie compresseur,poulie; compresseur,car service related issue
INC00057525,la jauge electronique de notre cuve a gazole n affiche plus rien console maglink endommage a remplacer,la jauge electronique de notre cuve a gazole n affiche plus rien,console maglink endommage,remplacement console maglink,console maglink; jauge electronique; cuve,tank gauge related issue
INC00040252,compresseur en panne moteur et presostat remplaces,compresseur en panne,,remplacment moteur,compresseur; moteur,car service related issue
INC00031638,pompe super disfonctionnement des prix et volume reinitialisation de la pompe et mise en marche,pompe super disfonctionnement des prix et volume,,reinitialisation pompe,pompe,dispenser related issue
INC00060428,le matin apres avoir purger le conpresseur l air quittant de la pour la borne a air es tres faible la pression de l air ne parvient pas a faire gonfler le pneu d un vehicule nettoyage des electrovannes remplacement flexible embout essais ok mano assecheur a poser sur le circuit borne a air,le matin apres avoir purger le conpresseur l air quittant de la pour la borne a air es tres faible,,pose d un mano assecheur,electrovanne; flexible embout air; mano assecheur; compresseur; borne a air,car service related issue
INC00078689,gasoil 1 la pompe debite tres lentement controle et nettoyage de tous les filtres,la pompe debite tres lentement,,nettoyage filtres,filtre; pompe,dispenser related issue
INC00078693,bonjour la pompe gazole 1 n affiche pas le montant sur le tableau remplacement afficheur,la pompe gazole n affiche pas le montant sur le tableau,,remplacement afficheur,afficheur; pompe,dispenser related issue
INC00070001,lorsqu on decroche le pistolet le tableau affiche le id52err248 et ca ne sert pas reinitialisation pompe essais ok,lorsqu on decroche le pistolet le tableau affiche le id52err248 et ca ne sert pas,,reinitialisation pompe,pompe,dispenser related issue
INC00075411,un bruit enorme dans le compresseur pose d une courroie panne resolue,un bruit enorme dans le compresseur,,remplacement courroie,courroie; compresseur,car service related issue
INC00061695,bonjour le therminal ne permet pas de servir les cosommations des clients ca affiche pas de sam parametree et carte inconnue svp merci parametrage tpe et soutien a distance redemarrage equipement et mise en service,le therminal ne permet pas de servir les cosommations des clients ca affiche pas de sam parametree ca affiche carte inconnue,,redemarrage equipement,tpe; terminal,pos related issue
INC00063522,bonjour la pompe a petrole fait un service continue sans arret reparation du pistolet defectueux,la pompe fait un service continue sans arret,,reparation pistolet,pompe; pistolet pompe,dispenser related issue
INC00034939,un disfonctionnement remarque au niveau du pistolet super le produit sort mais ne marque pas au tableau d affichage reinitialiser la pompe et mise en service,le produit sort mais ne marque pas au tableau d affichage,,reinitialiser la pompe,pompe; afficheur,dispenser related issue
INC00088769,probleme de connexion internet oasis communication retablie entre le fcc le doms et la baie informatique,probleme de connexion internet oasis,,retablie la communication entre le fcc le doms et la baie informatique,fuelpos,pos related issue
INC00055237,bonjour pompe quadro1 en panne besoin d assistance reprogrammation pompe essais ok,pompe quadro en panne,,reprogrammation pompe,pompe,dispenser related issue
INC00071316,le jet wash fonction avec plusieurs arret controle fonctionnement du jet wash et constat le surpresseur ne fonctionne pas normalement,le jet wash fonction avec plusieurs arret,defaut surpresseur,controle fonctionnement du jetwash,jetwash; surpresseur,car wash related issue
INC00080647,les filtres externes du site de bollore coulent et la pompe est tres lente resserrage des filtres externes de la pompe essais ok,les filtres externes coulent la pompe est tres lente,,resserrage des filtres externes de la pompe,pompe; filtre externe,dispenser related issue
INC00088229,la courroie du compresseur est defectueux remplacement courroie compresseur et reglage essais ok,la courroie du compresseur est defectueux,,reglage courroie,courroie compresseur; compresseur,car service related issue
INC00071117,le produit ne sort pas a okouma remplacement membrane et pompe remise en service,le produit ne sort pas,,remplacement membrane electrovanne,membrane electrovanne; pompe,dialog related issue
INC00087151,pistolet super et gasoil debitent tres lentement nettoyage des filtres groupes et pistolets controle et reglage courroies essais ok,pistolets debitent tres lentement,,nettoyage filtres,pistolet pompe; filtre groupe; filtre pistolet; courroie,dispenser related issue
INC00079709,nous ne pouvons pas manipuler le fuei pos car la souris est defestueuse remplacement de la souris effectue,nous ne pouvons pas manipuler le fuei pos,la souris est defestueuse,remplacement souris,fuelpos; souris,pos related issue
INC00039854,pompe go 1 signale error remplacement des batteries,pompe signale error,,remplacement batterie,batterie; pompe,dispenser related issue
INC00077473,nous avons des soucis avec le tuyau de la pompe il y a une fente sur le cote qui laisse couler le gasoil remplacement flexible,le tuyau de la pompe laisse couler le gasoil,tuyau percee,remplacement flexible,tuyau; flexible pompe; pompe,dispenser related issue
INC00073205,le bout du maneau a air qui s accroche sur la valve est defectue pose dun embout air panne resolue,le bout du manneau a air qui s accroche sur la valve est defectue,,remplacement embout air,mano de gonflage,car service related issue
INC00049570,bonjour mimboman 2 fuite d air au niveau du flexible et pas de manometre en station verifications et remplacement du flexible et mano de gonflage,pas de manometre en station,,remplacement mano de gonflage,flexible air; mano de gonflage,car service related issue
INC00067511,l accroche du pistolet super3 est casse consignation de la pompe demontage de la cage pistolet soudage remontage de la cage deconsignation remise en service test okay,l accroche du pistolet super est casse,,consignation de la pompe demontage de la cage pistolet soudage remontage de la cage deconsignation pompe remise en service test okay,pompe; cage pistolet,dispenser related issue
INC00073210,pompe duo ne demarre pas verifications reconfiguration de la pompe et remplacement du flexible air,pompe duo ne demarre pas,,reconfiguration pompe,pompe; flexible air,dispenser related issue
INC00066078,connexion internet absente sur le site depuis un mois deja fourniture nouvelle puce effectuee,connexion internet absente sur le site,,fourniture nouvelle puce,,it related issue
INC00068350,tuyau pompe d attaque perce laisse coule beaucoup de gazole impossible de servir les camions et les gros porteurs remplacement du flexible mise en service du produit observations bonnes ok,tuyau pompe perce laisse coule beaucoup de gazole,,remplacement flexible,tuyau; flexible pompe; pompe,dispenser related issue
INC00055410,pompe quadro 3 en arret apparemment la batterie remplacement de la batterie remise en service de la pompe okay,pompe en arret,batterie defaillante,remplacement batterie,batterie,dispenser related issue
INC00056361,la borne a air affiche toujours error electrovanne a remplacer,la borne a air affiche toujours error,,electrovanne a remplacer,borne a air; electrovanne,car service related issue
